msno,is_churn
sYovUqW/L4kW+IOTNXKy5fbQoaC8eZOUOFo8OB/yWJA=,1
YEUqbnkcVWCjMkGeuMhhh9SC5XM9Ci0GlsZByFb1WsA=,1
hOBORpG1tQHdp2NLF6a+mG8r61yOrHuHcwm3z+G4MC8=,1
9NbVk/xVDr+EXIZVdOWI6O1qg6M2Dr7wL+Z4IS7deKM=,1
cPtc7BziWAlxY3dRQAgKVaMTbUY3c+lL17KyNXJTFpc=,1
DcsniqVIx10qSgiSPrdkav+LCWpP/YGtN0xhTUZMDF0=,1
WIx+n5wn2/aDpIRAzx9SOSY1fqwhNnZaB1IABgO5XQo=,1
k5JPigQJ++9uszo7U13DnTFRCRgLJ6Rzh0uEieA29v4=,1
GNheL1MxgVoSx6eVD4QOBFNt6+nGadX1ZEChBMJteEE=,1
S22xEObXWuOELeaJRlu9VgpbFEZFSQ+4sgWklfloHdo=,1
CyKcynPTST8b+m7tM6knvzz3SFah0eem0GnZQa87W8o=,1
1g1nWWvdPm+4iatLw4DveaWcPFpw7xDI0GuIustJknI=,1
zotKoVhJu3W3K9SAiBj6NoUK1G99hejvohV1z2nBacU=,1
wYWY+hF3qEzqED33gSrx3XcN+byldVQm+nXB4bbFY2Q=,1
HHmxcPmi2MKqZbguJh7PS8GEAB5CHXrR6jMbnGpY6hc=,1
ETL1+xl3ioRuJcio+7aYFbIntg8hnlOM0ht+xOcm15k=,1
pyzKpq0hijqDMDoEc1Z8TARv/O0t8aqT717zIVMnOqM=,1
Icx/gjkDUlr1H9Hz9Y8WPHfITonZxSaG/LTVReKL/Jg=,1
Ko16uGcABj/Wzv/ykRbBRjkh/WBNTPWoLM6afrrQenw=,1
LHGQfZj3oPoUgup+cmTt2C4I1V9FmVIr1lY9y5Orenc=,1
/ruQTZbqidtmofLq/51f/niD/H7RInBeI9M6ICezhkw=,1
dlyw8YEhaXp9Omcnst9ZOoKLSAHsy3Aw6+IBAr7FrLY=,1
E42bcuak/D9/XLBV7Szgi72Ahc2lknT0VpFpqgcGPMo=,1
kKpKjawz1sCWNIt2AG3UU8IKzaVdnZDgoWf4tOrGWog=,1
M35ZkFmoT4C9f9J3bXJqNCJwg71O1RJj1yXRS+CcVGI=,1
DlaE7xE/7scpM6Fu8lhODDon/9AzGtcZL0ScnB35S+o=,1
bFEe57px4MI1ofQ2Ugpi5M7G3I1woLoFLMVjynR2lC4=,1
zMcvq0+AJ4tSq+58ZfEO014lq+KmXX0JVoF1stDwbGU=,1
G0NCkTI/2grwb9oRrAwnv6h32fccr+To8emlS+Z073I=,1
WOiGMHXVIUha8OW3kW0RdML00V5b5/8q/hkScJSFG0c=,1
ak1Qf5JQe6GNhH8mLURTaP57x8eMXm8jYoc8tfc3ZPc=,1
FpsFkKkGxI5WjCDXQC9+6FJv5wuPz6qtv/x+Pvf+OgI=,1
ufq8Z66QY7eqavgqEB+HbY6qpWoXz2LNbyDNf8Bq0TE=,1
eAUCIhjWEYIbphyH39x1EwoCYSzp/b0H5sMHFMFzZP8=,1
WInjpkViiCKC/DkzA4LCkVh5gpUvTT0/YkcgoFJI3N8=,1
7LLUYwZmHScJKHDsXW1jbTSfKf0F47gr/V+zewWvoV0=,1
mI2d3UC4B0iKiNpVZfS8PWUqZxzqcD2PS95/o13l5P4=,1
YEvbrwx/puLJe02fPJ04e5RuaS5jzB51inmHossbV3o=,1
Cb81bmCYpRjZz2NxfBlL3sLNwGyTADKatTH1MMvclqU=,1
PCVlZ3xh5V3IgIYZ0Zfm5Epd5bV3yP31cF3QTTMFD2Y=,1
28UKSVbcWTskeq4ObNmN0W+6H3LIn7QUdUwohJj6dXs=,1
+hstYyAbOhoowdSW2LIgVZrV3wUuWKao4CNwTUjmYeE=,1
mbqykz6qdKD2k6FD5eKO8coBneuZPsbrEV9BBeMi20o=,1
S0YVXgLX1qpmIYSf5phgUjRjEhfBkUz+oGfvTbZzKjc=,1
K4yp+44+ceVRow3NuY+UFlLkvPLJkaDhTUqZsB2cEVs=,1
ocOmxn7OaKpxiOXfzMW2QFm2loieahGYy0pJk6iTEAk=,1
/cWxyAXxyrrv+DZ7S7CJqNmpPX6sZBxl4TMerGzIE3M=,1
XN55ciRjApYGsn4xa+gNx7GRnnKq7WQGvFvEXKW1CXI=,1
ldRnQcvVeaWwVHeNIN9S/xTUChzG5OrBPwSSjt2Tw2E=,1
UD6DvDS/dE9ixFsvZIlzDiPGPa1hFUEjYN+Q1pTAJfM=,1
3Jr+cpAuKhAJYBbtoAuXz5RAuvj0dhQWXSx326PkCow=,1
LfjquX365kdVu/WZfEqsJFuM6nAZcUpObf8eutzoeA0=,1
HIv1KyExuRilmtN9ltq4d82/Z/LRcNx8RMF/8k+pEzw=,1
/H8H8IYkBwyptb84oOswO2DgIwOiCWmUmlhGNOD8vME=,1
dnR41ZJUE4xrc1Uxerd1/f+oIY/JhX01Nt4tbBL1hCo=,1
tmnfZClDQgTbqlvpkNZExBjT/Xp+2XxojgUuXav6+Xg=,1
+myb/VIFd+LvR/2UmYiTMZUKBai3qsG0wdOE0WLr3Bo=,1
OpnUgGkGTFyG7G1tUVlxXHcvKhtWAfUGjE++EwgwIz4=,1
QRndGnZEvmqM+6VQgVmmUx/v/AvKBN6cqQyIY9R1vX0=,1
R9m69QasfxpKlm0/h1we9lf1evhC0Ope2V1Eg7JsmCk=,1
DA5Osr/ZZYrAOEjzOOXTr6PHk73oAaGpv/0IC2c4v2A=,1
XM7MIYiG2N/j++OLAIAtRppR04kRioSd1L45ycMMn6Y=,1
2oMDpcBphEwM58jrdqM/O4nWgv64U8+3UnZx64acSto=,1
KI5ejw6V0XrT1KHzDftBJntO1LtiPi/1rSb3tXnvIMk=,1
cqSCvBITIDO41R2RtkAp6fx8herIQXDjqYL4wZ4mh2A=,1
k7fqg95MERTOSrp72IfLGAvIuRi+lRw1SvHWvopE8+M=,1
HwedDvcUI0OzIqYho3EBvESlQ9WtfE17kxxrMvHNeVY=,1
mR6hcF+AW1g1fF5+YEzReMZDi4/dXTQnhP/fYvMJarE=,1
MPhmUWmXsvi4h1GGi6Zq00L6Mci0lZGcgnONuSJj8Iw=,1
MbGCP39UbOGjqzdWQ0aeBQp4yyKM1hqcbDuG1IQNC2s=,1
QL8n8iOY9LtGL4j9FAv7KSqd+7tBNU0DJ5jHCnlZk0I=,1
yW4lfrHTAVdseB7OBt/YWpPWxePe7HAyv/DqdAlMon8=,1
GSy9+IPIUgF4LN8a54gXIZf4gv9ojdVJ4NQhpoaWhr8=,1
Tgd/y8yBQqmjRf5pVU2SZk8PS0uozJ+4idNnSQNPpmA=,1
pBd/y/LA7WsZwi8t6ygYO0WazgWQzz/OI7GzOe0aLM0=,1
QGd3nMWxYEbgLeW3qPPeRvKQRnNGiNPu09Y4AzZ3gA4=,1
fHdtOEWd6MMxNdfIgGiL0Y7+S8LH7vNLdZj/4NxBG14=,1
BwFxBbTCbQymz9yXQBUkepZQBMFeptGkYfzBEWSor+0=,1
DK2CNpbWNNRPHxf/Wig6eR4skNzhHUp0QoQLES2BscQ=,1
CgIGPP5d1hyqINwq/wfLo5BnNlCmeuQRHtmSS3qBDzQ=,1
FW4kdQrLS5vkat4fZxcEWPmhmvP/ExQd49igS2hKKco=,1
jAo4N3n+7fymV4+/eKEIRmfrlpPStOymHiINsrJa8/M=,1
KtRMqKQ2RizCUAnmkvPp/vF0J3XAw2xEKYWnll4zzf4=,1
z/41GVzDM7Bw0Spp5Fxs8q/I8egeP3+Kgd+Ev6+ezO0=,1
/dXG4iiVYeCbN5/1Im5mpdwdU474/j0iSbSkcgwIyDI=,1
jaiJ/VoW02SLkHh6SLBGLILMBVZxnp0iLLKdPGJjUhA=,1
fDUX9A31OnkFSpSubdP4IZm+mTu65A/oH20lBI2nwQA=,1
QwCdQGip8l09ghZScnN5HEFaZSoaOonTY/1HmvDuBxI=,1
pN8j9ydGV5iOSxaQTNcGYe705Mp6HVplIUgZZ5a1KJg=,1
iFn/10XK4Lh+Q2OLzN1x1k2Iay80nvdBDIEhTgyFSl4=,1
iEInhUxLd0giO/egJc2IDs3AOAOFm3LNJXxAtfT6f3Y=,1
kBjRl9EagvCx1PEOdDDZZxbPRzorF+SmL5M/VGV+bJE=,1
YV9ldYZ3cw+2ImxdOWTQBJFFuhW1XjSvnwisjcC9wCA=,1
yHW7pB+MnQBQLO0zQ0Gw44YNxm3t2nOwxmqgpd+gsiQ=,1
p6HJCD55liYdHAsawHm/cifLmbF0mTmrS5u+IgxDjUo=,1
RkhXRsomvaccv6jTcXSsZFRXv75xSvMw2sJphMWD/T0=,1
zMvY3MdC1TB9KmdyzFGwVeE666k9zHcdXSz09lG8BMA=,1
ef5AJSJ/LO0/9HPyJ/QpzBSDIXxZbqw9z4mIlKUN2xI=,1
NVX3YdxUmIrRC2R/2byHrX368496yewiYvZEUMVXP9I=,1
CV53gwunT5zV3S3My1SLtjS9dAZYp6R8urXFkuEMJXc=,1
yW135QYAuGdk1i/SMOrRw588OMXSb6753RDEQWzYRZs=,1
UsLNleHMyLmx+uSVP3abrwhYxeypegJDxy+21vdD3ME=,1
RVyvZSzy4es0lUQaiG4iUj/+5Q/tAUWoCh8C+Bs/WN4=,1
V1/bDPnVZtBMlMfR8PSmmlDI+y6Bkb9vkMyV18QrDjQ=,1
CL6xCRJA7cx2mnItPQS2a3Jp8UoDHmRwJOjHXCEYz+g=,1
PBWX+VgVQy4BvWwGry+YdNHQtKSieEJbWGXBTxt6uvo=,1
nyRwAjJ3HVaE0CR9Nj4OwYLtd7OWujCXFEgbAliNwkw=,1
sTFAeeCMmOeQHWX+js1nziVpbrSM6KxZ/EH4Q29Mfb0=,1
1OQ0qirAkkj9kNWIufuxdcP5YwoMXIeXwibfD9o+j2o=,1
1rHGIrWCIgRnzPM/vSAYaCEjOfxws40Lo5GKHY+jI/c=,1
CJOdZ295CDyv/g3LSe9GKfNv8cYp2ZF02HE1t5rQ0tM=,1
3h/tTMrNwpJiXPQFziVEOP8UAR/BCzGdSupU6rBGraE=,1
jyxCgoA+M2PpV6Gu09nodGDV0KuZ++u7bznEeZ/WRnM=,1
yrLvg8qBg9bo56HXikWj6Jo/6zfagVVy5fUDroGrVL0=,1
+7jiTEIBlGHC3A9jzDLMG/5v0BMouI3yyiCfMzbITtQ=,1
uc9ZeQqIK05E7fTcmj/mpMYGvj/k7SdUv8E15ztP/hs=,1
mYIaAEhgXlve3QKNf1DEMCFfImPr1wM+jbRAOweLaxQ=,1
tiq00l/S29X+dxA+TX8kWZM2TgKmdMBSwXu8FSNBTjA=,1
kYGxPwROUrHupUCsLWYlNltKUNVw6sFVrK+dLNqet5w=,1
Ww0E1/EpHpGaC3QiFOc2ySo67w1NfP/w+ylJNqHP4KQ=,1
sPOkGo64UNOnhUxyMrTDyaCcQB6tnfiVWu+MXadiMRQ=,1
tfPFtwDri1y9veAtMRNjPY1um4nhe8TRXCUYaXIMI0c=,1
qg/pMwXfl7sZ63GcISx1duhCvP1hJVU50pKYEUA8G+M=,1
rN3JnzWf/s/mYoXMO9hnPiXPqwVXeWAicsRceuK4Fqo=,1
iDc0gRr+/0RDCGA92oyhCf204KrPt/nSW/j5Z0JwSFM=,1
q0up1at/ascHbxo7iRePB4S2xTNoWVaqErLsRUVgsJY=,1
VygPGjazeG1DhiWcZ9ekZyCA4WMTGjgGL2gthtfp+D8=,1
sZq99LW3/7x+elX0bgJSgzSFJcfuFR0KKHtlfKcTBxM=,1
cZ9sVVhUwTU8tCBkbDoFPnfSKrRki8KV3HPyR3JqJ3o=,1
wQI5yCnGw3rXGG7OQpu6LeTNpYQjL7zMYB+i31cCdOE=,1
BlWN5sEtKzacfdpTpKc7uFWr/w1fxmp87mXL5Jchgsg=,1
Sqj9m+YAzlwSYjRACu8gNX1ppywib+FJVYcPABOtHhc=,1
j0TTqBl0P5uUpcqSuOallG8P8RYEj9Eva4VQ50hPY0M=,1
L7YtKHMAuU8xzmvQsAlo8YZAmURFuXdwkslIExMT/KQ=,1
xM0UhpwjzBt9qET2vjle3k3G/sJKpDy3J4W4Wbrp7qo=,1
XLUE6A8LyQpYKvcPLLU//K2nn2iPIRnvulKy3pzCqQU=,1
kFd1vFR4gKS8fHxjqPwNAiXgtJnxm52ptlHgQvN4J1o=,1
/7B832BEdICDvmgHrlAA3y8CFLtYQ45YGfgh0xaA2fI=,1
dC+WZVgrnbWttxCQEuaiWuoPx4eyPMDaW9vpmyLMLUI=,1
+6g4MkKxiprD5pafXbN6QZ19qqi9h4xqyXdNgpyBAUo=,1
t6OpjPPYcUiGLsudSBgWkxrbGxmSea7j8gVO20S8Qqc=,1
OZ1W8ZnaJpv6qUozU4mC6Up75inurQNHvrFRjB+XI+8=,1
6As7Hw6iOAdNY8FLZhPVzwOoRFpcQXy3POJA3vB97/c=,1
M0ZXqt210HfxgKjL7zjCmNiBpIW/2o+v+i6FIQJg/cM=,1
ZoWWkMdfIep1CkqNMDu/Rqd30i0eGSotzdQEHIjLgyI=,1
wh/yKZfEE5/IS96JTjm5oXg0DtmU1Jun7x5gfQC4GO4=,1
gkrn5zHk8CXJRHlsCvUWlXS+MqGTE3qj6kqr8XRiBO8=,1
I8tfwK+BA/+qLyMzcPEBpKWYVMfU8gp61vLJAda+dTI=,1
cPfd8xVzp2CnnSN68xNg1jJ0Xix/IIPQWhXzlt7br8U=,1
PCmssjtJBf7ccWBBWt7ADT/E3E+BAZafGfVpTx69Ju8=,1
T1Fghfz473AIZRCzNkhyjBkTINbdddLQpUsV7u1/KKI=,1
YHxjXx41p5y+XNg3WuqBcOvBPJ+V5rWpfJPnMWorp4k=,1
Lk8ElMeLMojfRpwrzZkC+ghOE3dGwUFR9BrsOBVQGGo=,1
MIiFLor8fy5L8U67ZMaKqHr/nsOPRfE9FjEcJG35+FE=,1
IdCPG9MG9YMcTfuYpU3E92MbYFZVrdleiZ5y2PkfYGI=,1
jXrT4b6tZVsMFjiA2qXfprVOjo5X2IMioXLh1kpp4zg=,1
EQ/8+NYCH4C8Wza9vKkt2Dkg4CAhZlDTgUjE5K0tbWc=,1
5UrQ3C6pEV8FkH8ZMDsV8Z2rqa7ZbL5pNLQ9zvxph2o=,1
0NYiEHDEPqNAYXy5c9xU8Fx2ITwR7Wft9w+kIxy7L1s=,1
kkh3Uq9eYiF1LpVp9SHAWfMeP2HVPf5KBirVFLkjV5k=,1
njdgaWScBK/O7XP97CSUhvTs1DHVOtobpwil66+sYoo=,1
BnkA1hiPo0WyZ9XE4gCxn63G6L/PXeo7112PVaKIEps=,1
0nG3RiAEAh7eJRvirGDgwj+5BaO8hmoBjeKykX3HfpQ=,1
cMuLvwmbBdDixwJ31rcMCGAWh47qHxOqZtVcuDtKRiw=,1
ic0IwtU034OQoyAKaMqF720cwzZmrbU3KcR3ZjHir6k=,1
BrBY4oFtA4GD25cPq8ZhzDIfHqzCZC/Q2ZQuzHbfJOs=,1
pZ+utWscuCahsy890/veeDsOx3aUGRAqxBjCWv7Eh0w=,1
oR6T7MtC+gF/oT/U+hQS/Wiqb5GEPClERqE/CkmCekU=,1
2VKI9s3Ub0E0h4N5FQS78oo6N+Cv72SXlGTQ4c03GJs=,1
GKsZgA+XZG9Lrd7TcLts+Mvz7fwD1hhIBuIwh++5Erw=,1
2FCe6bz5XxmsxAVZ7tfeS7XVcPu9xfIiXu/H4yOJzn8=,1
kTlYhmGu4gw15C9pDTW5iGA2BmJ5L02PEVE35+3LNws=,1
eKULGL36/FULC7hr79l4vo0E2u/gMZ4XUCYMfLGaPT4=,1
Cpw5QuEWS4JmBeRpfRM8abeQaYqTjIHcKDVm2jaQf7s=,1
fwfEphoBpf+8SVixsvhHSbv5TySL0qT15gggtLcvjnA=,1
grJe8wRsc7GiPQWK4ODPzNkTWxaa3loYYkdcLuMTEgg=,1
ZRkM7//oQjQv2HulPih6Vd5DslghmvbSvM19XeMCfOQ=,1
+SGyfGxwbfXHQ6/FjynKwKYhbu4WrQ7N3fBUH4Td8/c=,1
b5hEnlXA+juev5zJ32lKR7PRJr9Ysg/6EhcBnbz95JY=,1
c2g3H1GfAiGZSmmWlHLkUbzR8yEFE08WqoM11/W3iQQ=,1
rgmQqJf2C9Kt1+Szf9yds7AxDVp5ttorGie5oAJDggM=,1
eazs2c7iPpRgyuqukv0bjKiFVrbk/NZWjZKZavAv0Ks=,1
h5Ifcc+4IGg0JGuvt6zlgzkd8OfKcohUBYsbzCRxnYs=,1
OAUpMa77f7rBhqI7I979D3VUWiCNXT50ivoEbAmQHnc=,1
x/iDKXh5wsWh8O33Z4MFHJIZjap9meh3+RLH6aWdBlM=,1
KDE3vAjagK55N2HAc5Brotz5mIDviY1tPItU0KqVayY=,1
wRNYERCT4R/FU5E2rxbOAlwnc6v+lsXsW7jxhsyZDu4=,1
I0LT2/JkENmQzS1nX2qMFt2MQv7ORuMyq92ZnUWAGbE=,1
WH6QGWxz2xAfsxpy0EclajlMfvMAalPBC9Dew3HrLfI=,1
7wuD6k0MKbaR1jsVI+QyRJM8jOW2MCuXfm2EuPefpIY=,1
4KQXUcD6Fz1dTYd4TADLarY/R+8I3nbiUI+CAbeJ0gg=,1
qZ1O6fV/YkDVN/EydD7SiWs4ALefn/NyleUzdIMxDBI=,1
3MXpgQffb0qYshKMzYBIVJI1RWd58NCUxkWeqWWo2n8=,1
s7n2LegIxdRSDFEik0V4ClkPsmJTOnEEsz32X/pqPeg=,1
596+lJOeMlUPVYctDtSFrytg1NXgmWODfvedhDfg/MY=,1
dH0qeGlHNnzlp/2KuiaQQ8kodsb2ruyRgeM+cKF0RxI=,1
MFN6OeIYmP4s6wM95ERNychX9wrfCzDlPFc0/LF3dcQ=,1
npxjPyaLeQjP2XWk8MgWO2uT6kW/QNF5W0EasbnYwGo=,1
fGMDQ1WJ/fi8zSNlQMje89zYXotKfiTKB2X37xD0/54=,1
UgdHETgQrPxENk3Zmx5V1dsep2zToJMp9gnXX+hrD24=,1
J/qlRzkvitJTrA+MPsZ2JDY287hmlR8eMhby6v7lAkA=,1
bHb3dDwRVuOX/JeTJsaZNrCDa+cZPKEjMM7SVQRrK+M=,1
dFdjhT9hrK9uUP5B+9hY4pME7tMonGw5jfF7h4nM1xU=,1
LknU9Smvctf5EfnbTTqZ6u9cF6+HnEE9f2VWug3Bdj8=,1
NA6nYrJzGbmQ9kf1H6G/6dMVP7qhvWoKXtOR7N7MHrM=,1
MMRgTc6JRvdOiybfDpkmjd0fa+mHCxqnZ6z+AW5KX5o=,1
US59yHOf9ebnUHxOWJwvCMeAU627fb3kEmxIR/Wzo7M=,1
hw5mdtrwoS4Khb3PKlqLux5Pw80QVN0DpQmyvS2oR7c=,1
UZa9+gcFWqVrlCRKD4SqiMSrgB3N6gEfPt8e/6/d6jw=,1
ZJtcZncdfBHxwalX9hW39MzntVFCg3+BIhx8qrlG1+A=,1
GOL/SNke8h4yRrMQ8AECo+mCBNMrRO5LPTbocUcTbL0=,1
IO07O+EySy9FAvrqxncRhBtJTUH6DJ36cp6eMgqxAcI=,1
pCjfiuzJgnWRJDajPQgGnOI2LrbDM5FIE27DAWUdzaQ=,1
wyoS3DpnUPCF6ARyPrQiKTyLpODW5y/8fJsnprlzUWU=,1
mIHNRc2g1Yq6xZFoKRMInR+y6WXVVfMNpf5r5I8uPz8=,1
qa2TI3/iSl2Gh+ixrFSXUqoH9QBWNPXfQdXpQ0/sDbs=,1
G8QRSQ12hmTdKA/T7ZFmQxDtNKDkBYifQu3RXJ2jxdc=,1
cPsPXBz6oNXeEVgY5nctKeZo7YQ35BZAu5bgVr5EiQI=,1
KyaOvXaGPnt97cGU6bXGvmW9/dtcx1z8qvIeE9Lw30M=,1
r9Ts/qbiDaG3TbLhtdoLTl9qT/2xSRTP5ExpB9OqDkc=,1
P6ugL1hvG6U785dRCHB/SuYhjOJArqfsBMCkdtfCbAc=,1
DsTzaR+NM0kjLwVJPG3SZj+yvJhrkK2xc8IxTf1EdDY=,1
vt/cck0PxnBVzrMhitAmoUNdexYnMMZook2vxErCTJQ=,1
0DNtt1oeLEWam5iSgtXDMcYco1FrR3iwnEWAN5CCOhk=,1
pJ990dishLhz0ukOAYC0bNCH1faN38cVvoh4LsWhEZg=,1
cjjqCmggAfpnDRSUD4Lc2LGxunJqV1VfigYK3gX5i+U=,1
VnVl0du4WFl1wJ6poxbOYn+6BjSXFv7zR2wcC7E3bGM=,1
ZPA3KldOJttXNF2m4ejjPXwiE/nNBGWarQsvL+qs9ro=,1
fKl7lj6OGgCMW1r6QSJwKAPALWne1253BB6BqAxSybY=,1
MwoW7Hi2usRPYe30H8T5F1k1vL7tUDiZ7Pv/LILbxMw=,1
HCqGkM1nJeh6h/eqqOIs6299DvZr3xk/wP61oTGDVdI=,1
phiQSilkbTjag2n7PUd7+bYvWfOXIDHY6RK6VJKiBL8=,1
sVhrG4JJ+bUIXm0pC72D3FE4Y1gJQb8j763PjHmA9fc=,1
rtYCvgKG4wxiVt/37vgXZ/QJhyKzc91DTqnC2ETPFh0=,1
k79e1E1C/Swxxq63pcZkEND5EjrVSRRr32mZWIBHEkc=,1
gLrqbkJpV9YGlgn39nTGX8Eb50VPZItrXOPEDw2goU8=,1
yoFU69RneeaAKZy98q+zLO99ZrIIykJQWjcpRJD9nIE=,1
kJ167LWLTaCN1jRVPa2zs0ecFA3URe4USDPdSp2UKyU=,1
3GGMw0htQgrCNZ+qGr3nZACiycT1kDr039a0h8n3Wc4=,1
PBHpWMrZmgUKeXK1ySY+d6V3i6HT4v8ELbqTmWjhpLo=,1
bbQfIADTCN4JecfkF4SLDud5hwokuVzBHAaQtdEqIZY=,1
Q33chwIkBtpz3cFuIDmtDOPnq1EcLSxibf2OjR6FJR4=,1
yCNmhyjM1Bp71ry/eE3Lxh7XKd+7StVTX5PR1/H+NtA=,1
0N+S9N2ZE9lqlfXKTL2z16/yRIOpgnhffvqfKhRKWfE=,1
/oVGdpyaAtUF06gDCFacMRd8pprDoOqnUNWym03FZmo=,1
gRC1fHUwdZAbP9s4akC2ujet7UVH7Smn2fKsOKffrKM=,1
Mw6DoaTPS3vAuifBhdONFlrzXF9aVPzCUI223z260UY=,1
mNMwxnHIqiEpyEpWeph6acNTIKTW4KC7PPlqKRiu3Xw=,1
rspOgL7d26VRqYVX3cyipX2yPHim/FuiPXes1CUaQ5Q=,1
NXfgDA0SBP/2AimmDwbwpfUmpW/mMC1a7idIgbeqKWE=,1
IUcaNVwJAv1in1dlfDZ1a0B3RlBvACPoXhNXPrCQ76c=,1
Y0KYka0xPUZw6Z9fbBPBBE3SkGgoWyV7EWyI6jyCdnc=,1
MJCn4kIFmSXoPgGk5sQpUxgmcZu9XQGKXxyRko+kD5A=,1
gpRQx6cSb+OKCthOmxnJXI7rHiDh+Czi4ASJjC/qS10=,1
BRgl9FDqK82fpHVW3FGspczOO5sUXV+TWnoC2obRK+A=,1
9lNwN9GijpoWrP5BpjrkCRQtB6c45Px+YlXZlJqSk1Q=,1
rfmR6K97+oWG33SaLUWJog8zQL9VEXrmGZVUEm7Ymh8=,1
BYfBZC/kyQ5ludO47/nA2hdcnE2opfC+OSY53z2oNAU=,1
fe9rH9nkCGQy5b5laaou3DA/W/FJeVrBiRddoFa/TDM=,1
Oc8wfhH7V1qKPxcS+niJGuVM3OUVRnayFigaUWYd35Q=,1
lYUSpemqh9kLdYdhSbMNQER8lid+HGeTCAzcEyek4sI=,1
SwNtRFCNg+gZSHslAcSMpaR9nbc4v1uP414xVOyu16w=,1
sA7gFecJONc0KIlafSD2JERGrTl7m7tqVZUl2ob8R70=,1
na9+JZAFhckLcEzSvju19bWa6Ohs4Wzh9GYvAfETNU4=,1
2e9GTzxq6O7TYtd0JS57mFXMh4iyNIJtHhAww3Vx8T0=,1
4UhTKfKc3B+S9NcpzkeULB/vmP/HheCXJ6dzRzWagf4=,1
SksagsHWe9L0G/97YjxVFbnIl3SE0p39k5PaqpHAEx0=,1
fhF5xfHHrmb11sRbjHxs0TLYLzcQy5VBdqioAQ3nWhA=,1
lwKKoe+E6Uyxkq/RAfuPq+Jh3h/BPzRNnZfFSg/NR+A=,1
RiHzslSQGXJ3hQTB1H2SpbMp0jIAr0c1a5i0uZHXN4w=,1
ND+AJIsf0gu8dq503qcRfNm3VPVZxIwq78ytYFW0vpM=,1
5TvFPpMWwH4MPtyrqwHRwGw1Euk6RtiuFd7GnwUJM5M=,1
79mqWjyfKNvJY/AYAmYjx71sVoITGsX0F+MN13ueXPM=,1
eMW87FDYnNrrBCifJm8vxQ45xNkMl9H1iTnYsNcH9pI=,1
lZlJbliQaI03ZrZAOMSri+rotFgzlrpWxf78Bn5biUQ=,1
IlWjGEyjhA7K7vhGHzyc7cvUp0zx6qJeGwZbRjf20pA=,1
gCh235O3OHXUd8Ef10sHKNTqSbZwP0DYw9U5gOooZmM=,1
vFrXJjHwCDJveUEQoCYePaULrvL0H28bF64DHEK51wQ=,1
wkCETl8wVJOByaowYGsXXUl11QcX66sdzTtF6UlHHsM=,1
EIPrEPQypGao+AfiZDezI1sr8NZB2u5aqIjPw7UQiZg=,1
jgnWqK8PfMrKHcSgzXZfHmRZ+u+FGqQWat+UTDAh7zU=,1
EIkH7ldYiSySXIDPkL5O0gioNu/OeDSUztcc4cFgwgs=,1
z4wxt7H1kObPNFk/qWmC+0TndyJPU6CmjRXGTOgGwfU=,1
