msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
Zw6P03T4w5GgzzdrS2xKvUJ07jUui/0IgCRQzIQa/lk=,41,30,99,99,1,20170302,20170402,0
aEaVTK6PDQ0joFTg//ZADClY6DqVs8Y4iYTlHx7xKBU=,41,30,129,129,1,20170305,20170405,0
aW+F1Ckz1I2UUegpDnsiGzV0eVKz+janAUg8Rhn3jcw=,41,30,99,99,1,20170306,20170406,0
bFDTcGgkiRQWJ80H2cfXQZMHo0CXDvzrXnJzl7A+P4Y=,39,30,149,149,1,20170228,20170428,0
bwQ3XJtSsDA6/2SnzX4tMIY0Ylnib+nQDUWR3Vk2XDw=,41,30,149,149,1,20170306,20170406,0
c7irvee3p+LCFEXjO+8jmpMBcKg6dzNNL0UxzXDy21g=,41,30,99,99,1,20170326,20170426,0
cd/Z2mamUNU0tWfgD6wXlLJfZ9HomP04IbdbT75BJ4Q=,31,30,149,149,1,20170228,20170425,0
chqxFjm1okoGSOQwsaVyVgPseDGh8V2IZV4K6y377E4=,41,30,99,99,1,20170309,20170409,0
d7GcOfREr/eW9pYwev6zoF9mpQwRAl+FL1+fEW7TAb8=,38,30,149,149,0,20170331,20170430,0
f8hjwkapylXQ2EhCglMNvQ3tirfHXPGzwBts6hlHpIo=,41,30,149,149,1,20170320,20170320,1
fJEjR5qRaQCccwnZ3dvjvQAlVzzss6/ykER9CAUNRtw=,39,30,149,149,1,20170228,20170421,0
fdK+UV1rxcjzDU/gtNcm7lEfM7Ed4iwc4JMoMl94rEg=,31,30,149,149,1,20170331,20170430,0
fleneqzRCGXJh89ePW/K/wzc65UJdwH6g1PLdJuA2So=,41,30,100,100,1,20170311,20170411,0
gYaB4jVSQljFWjV4n+tJ+DsQ+68vI2YhnhDvrLgyf+k=,41,30,149,149,1,20170319,20170419,0
gYzY4z688kQ8s2Bf/abTVq19cKd738eNathvCfDrxmI=,40,30,149,149,1,20170225,20170403,0
gux7HKVVEFI62CHhjbuYinjI6pZz97VrD8o2jk7pz78=,41,30,99,99,1,20170305,20170405,0
h0fw0FMgH6ZdUMvrxB1ld0rZWw4BAnbJVJKYcldx1Gs=,31,30,149,149,1,20170331,20170430,0
hA8uECULq7UYiLAKW0D+SDb+7VtFO/UiFP0jMG7SG10=,41,30,99,99,1,20170309,20170409,0
hocbGlMIWnIXl+LcU864P5Yk22LecKU/U348JGJBcpA=,37,30,149,149,1,20170311,20170410,0
hoiMFHqFMgJ98yg8LT9HAMel4EuXJ4I0WnGpyM+P9us=,41,30,99,99,1,20170305,20170405,0
iApTXTX7/v2WTItCXjg2VmKF/Ea2LudoaGEKos+i/SM=,39,30,149,149,1,20170228,20170426,0
iVYfBzsUtbLFtNgGfgT5/3igQcL1LjrFiX9KIgUPJI4=,33,30,149,149,1,20170331,20170430,0
idQDZXCrRTnE9JeL+nZQlxaoIsTlxevsenUimhmkB0U=,39,30,149,149,1,20170331,20170509,0
ieXBlRWC9Swd7ggZkQqPuvN/emNAGk1WcwbCiaePBdk=,41,30,149,149,1,20170316,20170416,0
ixj760t+qRckRUVexQd8hKuX0lD4pNZ1pTkGA3hbTm4=,41,30,149,149,1,20170304,20170404,0
jDlM6VLzNVRSX+e7OV2uUu8RxEgHCAnxno62ww9jRg0=,38,30,149,149,0,20170326,20170425,0
jSwdiYpK3wIyvYzOtYEk9UXe3QkfvCgjdGk9ojvfn+k=,41,30,99,99,1,20170331,20170430,0
js7P8s5DySLFZkYE9QAcNalwQzPsPs/GiO5EsFinnXg=,36,30,180,180,1,20170312,20170511,0
lSYradZ2BlTKRRb3hy+NiqGKms7DcFWyOGkpCby1DdM=,40,30,149,0,1,20170328,20170501,0
mkYAEEMUv/NWYSrLkOH3eqXvd2U3+6qpvM/3Uar1rTY=,36,30,180,180,1,20170321,20170420,0
og1MxW/pvuT+MrnUpIvq92V/+iuxW7lm2U34HLXRjNs=,37,30,149,149,1,20170311,20170413,0
otZpb1mCEBTlGyC9KsQ2WjZxknyPTQprlxmpm57Gscc=,40,30,149,149,1,20170319,20170423,0
p+m3FMP3tPeOfqhXlAJ3Z6N6gy7cTFaaLHRNBEg5fJA=,41,30,129,129,1,20160108,20170814,0
pix1pvqZzeQTtyAiNcMo8RP12ME3TzMBdb7siEqwK88=,41,30,149,149,1,20170318,20170418,0
qfCCEvnxV6WqWqWSSjyo0OVF3KtWF8ICyF+i0VITmOs=,41,30,99,99,1,20170316,20170416,0
rJaYJFBBhxhq2Bu6R6jjHsdx76qhwLcuAr2qLg+m6ow=,41,30,99,99,1,20170331,20170430,0
rc5Mv7sgf9QoLydesRCYb/W+azADvCFQd9DRJFycxtQ=,41,30,99,99,1,20170322,20170422,0
tHokuFcN1q3BDIp1TQ9gM7ULUxLmZZryy/Q3/ycgYpw=,40,30,149,149,1,20170324,20170423,0
uevMcdGGV9MqEJvN4i/14QbebEBezvNdcR92kkp3Eto=,39,30,149,149,1,20170331,20170522,0
ulCUeCoJPKU9LTVFiG0160h1mgsHjVcII4jBRNRC9DU=,41,30,149,149,1,20170309,20170409,0
vLGyw9NyAfthGgvijxmVlJBPCJ79Rd/UfBBDgZRIZMU=,41,30,100,100,1,20170322,20170422,0
w0b21AdkWHkGx5ir8wcdrQ9lnblt7RCEXA4b8gtMNI8=,41,30,99,99,1,20170321,20170421,0
wA5Zv7IjSxSvOaEJXL1/fRNjKeiNs6bkJ3QbMYWkm3I=,41,30,99,99,1,20170308,20170408,0
wEM7nkWWrVI3202WAnCnJYBxjPo/+VNSBUVwd2cAEMU=,38,30,149,149,0,20170305,20170404,0
wVvuzPUeyjB+AAe1Eht/Ba0YtRhWXUGhMj759w8Ntp8=,41,30,99,99,1,20170331,20170430,0
wYFl6iS7HHpKHTG7NGc2gBOYCZc5Zy4qQNe9gqSDGQQ=,31,30,149,149,1,20170331,20170430,0
wwWJfCgSMp93+5+H+c8KAGTrue1uP3wXPgnnmksQhA4=,30,30,100,100,1,20170306,20170405,0
xctyWBgyM1WvBMW49JAnfrYNyZqOOODHN3DzPGH2PpE=,41,30,99,99,1,20170304,20170405,0
xsP7ZLN0w/L1iCC/t3lVEvbAylrKt5iyzErqLsCpVj4=,41,30,99,99,1,20170302,20170402,0
xzkuCHqYe/H1SCKf5yLTKQTyh+QCAlABbwiEMqLpBBc=,38,30,149,149,0,20170320,20170419,0
yg6UGe2rRrplIWOZ1sm/QQepx/G9aKcJl2fe179yjTQ=,37,30,149,149,1,20170320,20170419,0
yzSKFnDD3lxfZ1PfTQzRmTHcTM/2qRiE9FG6u5FwN7U=,41,30,149,149,1,20170322,20170422,0
z8bjSNtBJlL1ApYmO6mj51Mqz/GilNCuPE9hGHCgKyM=,41,30,149,149,1,20150709,20180115,0
zRJ1cL/5XJKOOHPtlC/QhKF52Kb5ZgJQi7gNv1ap0I0=,41,30,99,99,1,20170311,20170411,0
zvhvLjyjXQDcdwgBG7NiMyyF0ZN/tEN8kuccsdsGIPs=,41,30,99,99,1,20170324,20170424,0
+8eJdV8M13yHhkzNuyiFRRDDxFqAapDa/+6+71qe1Mg=,36,30,180,180,0,20170319,20170418,0
+yBT9pl7EJTqzvJzmZH25ICtB/KGqxfHPy7PzposMhQ=,41,30,99,99,1,20170331,20170430,0
/1IDsOurz4fBfwL1VMvIc3+qpnRrhdm5Je4bYLFjYBY=,41,30,99,99,1,20170308,20170408,0
/xmQPSPsFgkVt7VVFm5YP6tR2lSGxAqYvE8JueOCJjM=,34,30,149,149,1,20170331,20170430,0
026GhIIZHKDtFJttWnt4efoE0+mznnkkpD3RZLLdG7I=,41,30,100,100,1,20170304,20170404,0
09U6BlMtSMEDijiRVJn+ei5plu5LHYvnjg55PScRcVU=,37,30,149,149,1,20170304,20170403,0
0J3RhYYj5Ppkc+XsR6NAlF+aye+CY5o8DUfLPPJeCi0=,41,30,99,99,1,20170307,20170307,1
2T+stBuAVTohMvHOpNf6kZ5Pdb4TfFNFCTk4B+oGaE4=,29,30,180,0,1,20170311,20170313,0
3Cu66FynsUYeONGu6y/7c2ZPxngkn9S+xZsUtHFUKDQ=,39,30,149,149,1,20170331,20170518,0
3wA8K7jy38i6z26PAdJyzjbTHlkbVwy2B/d5WcEpZbk=,41,30,99,99,1,20170311,20170411,0
4OfLMDchAwrpINiTEySTFBSNb4O/g8S6x+71d2fgtXI=,39,30,149,149,1,20170228,20170501,0
5t/VZgP1KS6j+LxYxAvA1DFdPr59fdQBVorjqWZL7zA=,41,30,99,99,1,20170331,20170430,0
6XErOOXF4V9gFfu9L8AKtgDQMrSLSxYHzp0ZfVv8rdo=,41,30,99,99,1,20170302,20170402,0
7hC8SXgyYu0Tb+LLq9E2xAF19abS6s/09DO5bErCS/8=,39,30,149,149,1,20170331,20170514,0
7p56jdaajZiEkfB2D5gyubYqtPl9Op2QVg7cNURXqII=,39,30,149,149,1,20170228,20170423,0
7wcTFXzOyq/cjB7GcS4x9ScyamknYkhrDDSXIV7xpgo=,41,30,149,149,1,20170306,20170406,0
8soTZ3LZ90jPrDkbFM4jY0YX/igDhRKt7EiSZ4nEio8=,40,30,149,149,1,20170323,20170422,0
90sNhoMnxPnGmwW6/AimCHYDjl32L5wxGnFgvFdW67I=,41,30,149,149,1,20170324,20170424,0
970V9lf5kiLrxZmfoB9mdeEM76KoqZbrUl5Pmeeqnwg=,38,30,149,149,0,20170312,20170413,0
9QtrHCE58OAski5R7m+6sAOQ3Weqfhpe6qxtKXLNaHY=,40,30,149,149,1,20170323,20170422,0
9uqQmhaokDrPlMTzGyFk/DEL54D7DqC9slk91dbWU90=,40,30,149,149,1,20170322,20170421,0
BMjyKvo73a0n0qujjMYErD4lLe+9oQTCAm8gXMMI2mg=,29,30,180,180,0,20170313,20170412,0
Br1pRBESoutHfiiN/IpAcmww/ZcmXktuk3YDn3y2E/w=,41,30,99,99,1,20170317,20170417,0
FL6VCrH8pmlBW3iIIeBwrTMf4RtTbrHxCaW9etjrLEg=,41,30,99,99,1,20170318,20170418,0
FRyR/EJmDKVjSxoiKQwS6SV0ME5AtVJ7YAwPFBx6HCU=,41,30,99,99,1,20170303,20170403,0
FXnyiAFWNANcEX75elT6DN8+t/LGkSJ+3il3WZmAVuQ=,41,30,149,149,1,20170317,20170417,0
FfxZ9OKD+PoG9WdnG4xZFuvgDVaiTU6kGDykQh47DZI=,41,30,99,99,1,20170323,20170423,0
G7ofgBzvGy062GUFmAagTdEeAqpLl0u96Cl4UWRfwBI=,41,30,99,99,1,20170324,20170424,0
GTCvKicK2KkKMVEjGBCLhwWnwUHGtv22vt+AFtVM928=,41,30,149,149,1,20170309,20170411,0
GdkgQngLZkeUrBPAUlrhuRRDM2aFLSLR2Tiuh9mSE7E=,41,30,99,99,1,20170304,20170404,0
GrhXVwL++W8jElexcF1WWUQsnrp22qYGV8HQJOumge4=,39,30,149,149,1,20170331,20170512,0
H+5Qpo0eFtlHHCBhU0aIx5XyxfMsnPcJfIxC4aAe7EA=,39,30,149,149,1,20170331,20170529,0
HHqpL9TnREP+E3QmlAbQXgsI4qRklxC82h5Uz87FZvI=,40,30,149,149,1,20170316,20170419,0
Hwd15u3sTSpjYCXXlxdmiEVT8m1YRrW/a6/AZrhuPTA=,41,30,99,99,1,20170331,20170430,0
Hy2AB4dzpGBswqLRIi0Lp045r2wnLcm2nLs0ZBBKV/Y=,41,30,149,149,1,20170327,20170427,0
IysMYqStPB+0vOAGjeFFiS+TEWU2ci7jhsjpqCF5H8Q=,39,30,149,149,1,20170228,20170428,0
JAsngpejGMZQ3mx26/zCoyZllGHwuAAODdaccHISdr0=,41,30,99,99,1,20170311,20170411,0
JGGYBO7hFzkMAW6Lcfyg97GPkMdwjLKKS9VMhl8Jbag=,41,30,99,99,1,20170307,20170407,0
JQFLREnIjrZ97uteSqf8BUPO/G3+09n9d4joKScQf2U=,41,30,149,149,1,20150118,20170608,0
JbEG6G5UuCcp0eB5p79zu+ElteZkhdSMgWDwVAEKKjU=,36,30,180,180,1,20170312,20170411,0
Jtq8oMMc8L/d98PEhTZxIzs8fGCwmmJBbHkoMle6PJ8=,41,30,99,99,1,20170318,20170418,0
KTRtZ8N631BpP0hqaNQ5aJKP92KncOn2w2cHL+UaIZ8=,36,30,180,180,1,20170320,20170419,0
Kd6SIN/eErf+MywBAn1jA/SOtVdnEMNE0Ofs4J/hFcE=,36,30,180,180,1,20170329,20170522,0
KkP5/zNma5waTSfeQ2OnfdtaP9MADqWm/yV6p7CQjdQ=,34,30,149,149,1,20170331,20170430,0
KtTwj6/Yh43+mg5YOtGRKmV0rfmpg2GEHCaC43KioRw=,40,30,149,149,1,20170318,20170417,0
KyfU++xz8W1Yd/2bvSOphDQ2SCbfGvoAl44r/jutK1Q=,41,30,99,99,1,20170302,20170402,0
L275bNEUNeUaV2+IN6QqqDQWqQYJxMhwuKmN5dCm+Jk=,37,30,149,149,1,20170311,20170410,0
M4YON+TKc9qiguABcMnKRAu9UayltaNmfA5v+qsd/Dk=,41,30,99,99,1,20170315,20170415,0
MZaQsWkjGpRm3Z1leQxYRJyuX5P6RhLeXljDCPZDadQ=,41,30,99,99,1,20170306,20170406,0
Mu2KmJLlOkIhFWs6NdUEYJT39mVbRF1p1Z5P0lTZYv4=,34,30,149,149,1,20170331,20170430,0
N1RKSSkDGC8eSR9D6hNX6KZKOa/rTwZXfnJ6JikzNOA=,41,30,99,99,1,20170324,20170424,0
N8atOzgm4K1NoSvQAjcc8Gribl2kF/DDeC4ghBAsclM=,40,30,149,149,1,20170321,20170420,0
OHs/MNI1zbUYb6qg0gdKsXcAy6VfHsr+ksLXR5c/+Po=,41,30,99,99,1,20170316,20170416,0
OeBMsg31qqHbUo70KxwG2UaeAU5W/nvRXZAqVzNA2cM=,33,30,149,149,1,20170331,20170430,0
P4AQ/hqnCFtADla9Zt4Pic8AfufsYOxASx7NgfSEggc=,39,30,149,149,1,20170228,20170422,0
QXLq2LzpZ3xb191iWU4pkQSEC+1ijELE75bKXO+m/A8=,36,30,180,180,1,20170318,20170417,0
R02DhkpCaUUuVYYYNQWkbmfmmKQduCdQHAlpA9FQXL0=,41,30,99,99,1,20170303,20170403,0
R0PfyEHSJlXS+/OEnRMSozI7RsPpb9ZKIfGmJAH3608=,41,30,99,99,1,20170314,20170414,0
ROP86wNe19qm3pD24LNESdDlyAFvLiEIh1fupf/Uv8w=,41,30,99,99,1,20170305,20170405,0
S/BJYzmC9GLoOCg54sJduw5M9hztYH7gqRS4zYkQZ2E=,37,30,149,149,1,20170320,20170420,0
SSPhLh+Bys1pPudq0DaoohyVG4Qq/rYKCbmXz5tj91E=,34,30,149,149,1,20170331,20170430,0
SWOajkcpUsBDhU11QVDtSuLk4VrMkuh6LWS6oKUdDSE=,41,30,99,99,1,20170322,20170422,0
Sqj9m+YAzlwSYjRACu8gNX1ppywib+FJVYcPABOtHhc=,35,7,0,0,0,20170311,20171115,0
TA7rr0OtUqSAQS1sNiuYlYdWkM3yE6tOBCSknAtePZA=,41,30,99,99,1,20170310,20170410,0
TF1Z4NBDMtpCRDyu3vSE5dVOAg95R4Cm82xTR49Y4aY=,40,30,149,149,1,20170228,20170409,0
TR5Mp/LJvoIo7bTFk0igRT1Xfcqpsa03FwwbarNOoqc=,41,30,99,99,1,20170331,20170430,0
Tfsh01OqoZx4NBT8ukHeXDtnU4e+vAxWaA9paUV9XBU=,41,30,99,99,1,20170316,20170416,0
TwCBhrUSs6Ol7c8e91EBCY/z+LaZDJhkewwmtCZnBSU=,41,30,149,149,1,20151010,20180312,0
U5rIrDN+CMnj10FU+kRCz/auxBVWK/Qa3qA6wP9rgO4=,41,30,99,99,1,20170303,20170403,0
UsgAFsz8+7Xclmf+4A9mN2lbp/CLbGFdemLgaMdCIko=,41,30,99,99,1,20170323,20170423,0
Ve1r1nUCBkhScURuqgAITba6l9F9v/Vjw8ihbMx6ckY=,41,30,149,149,1,20150818,20171118,0
WtcoQevcNLsNQpd8u50Qu41EfAgCxPGUEi3p1l5UZhQ=,41,30,99,99,1,20170317,20170417,0
XnvOO5UAN/9qGOrj8H1qCVoKaJXY+AwvtaeHJnA/iTo=,38,30,149,149,0,20170327,20170426,0
XxxG4KJFvAnAZpsZvZLoDODw/SbgctsY1eocFcVdMy8=,41,30,100,100,1,20170325,20170425,0
Y0aaedP78HGm8F+sCYYxphm6fPPJG9GfNaHmmxmp9MI=,41,30,149,149,1,20151212,20170715,0
Zn6uTKEUkNk4L+EhY46emC6nzlnZQc8z+PBZXywrbdQ=,37,30,149,149,1,20170325,20170424,0
a0s/ey14Uu3O+xJxBuI//NYfi5T+5hhKxDEh6g0cSIA=,41,30,99,99,1,20170312,20170412,0
aARJk5bcXrVZhxwGMx3lIpT1nzap5BirqVR/yYyPfzM=,41,30,149,149,1,20150516,20170915,0
aB2JkTrNmKJ7DjdOMUDVmqAbgTtTRTpNg8Ut8RTzlxI=,41,30,99,99,1,20170310,20170411,0
aFZawUFsjjSKKqvgXB1KBluDxBM4RV9E4mrGNx5xXa4=,41,30,99,99,1,20170319,20170419,0
aRqRmf8iTEiBpzpnAmxC5wv89P2vE3O0Bv3JCW6NOuQ=,31,30,149,149,1,20170331,20170430,0
bWt2QIHk2mnUx6Gd09pNICgRxMXWrDnGNVwsHnRP1C0=,41,30,149,149,1,20170322,20170422,0
be1rZPyhrrkln0GcDqBtWAY6gJY+y4Zhy3D+Pxn2gME=,29,30,180,180,1,20170320,20170320,1
cLlXuoJhHXxHCXmPp0aIt/nn6dpmnlzlWelwyFQd+9c=,40,30,149,149,1,20170310,20170409,0
dVxtOmxKMAqbHDvRtapJBaSTqUiV4WNZUa4stHqPWi4=,41,30,99,99,1,20170303,20170403,0
eJiF2rXRbUhAuEZI68jkGGIB91SkIbD6rawnWfXYYM8=,41,30,99,99,1,20170312,20170412,0
eM135YShngBBZkId+gesSaoGmOqQBdB98CvNSwcMykY=,41,30,99,99,1,20170317,20170417,0
f5RVqlDk8U85oP0cKz65XrjpPa96PeHgEGdWFORqcVk=,34,30,149,149,1,20170331,20170430,0
gDbbRFz0ehY8CqaLPCoV+t+WbH0rikWVHDIFiCA6pOk=,41,30,99,99,1,20170323,20170423,0
gORUBAT9QdEaq2nLy34qcLiqsA3slaOsGOYoZl4mSNY=,41,30,99,99,1,20170307,20170407,0
gieUw/ras1Lw2RF+/gFRaqlAJDU0D4wMVBDGXGzDRFk=,41,30,99,99,1,20170310,20170410,0
h9FvVpleSHH0sFv5kRC4mtk4No2n93r5WDXtGq0PdLc=,41,30,99,99,1,20170314,20170414,0
hBDUwe9//b8vomof09enodI1JzJeN4hJITWYb+62Y6I=,41,30,99,99,1,20170322,20170422,0
hfi0UaWInX3Sgq5/GyDY0eZcZjUzSS1nSsS/dh7F8F0=,38,30,149,149,0,20170329,20170429,0
imcZMjBkVFxUWTm0DTPS2kvvmJKG6KRan/A7Vest268=,31,30,149,149,1,20170228,20170423,0
iyxG0EYaJXzQmMb2g6WGnHsMqmPHe41iaE72rh3zO60=,41,30,99,99,1,20170228,20170413,0
izSSyeOAeRwowvr+DDxWsiEiW+O35ODTdKhXby04hlY=,36,30,180,180,1,20170306,20170405,0
jaZqgvmMJ45jIlkOS8KBxIt4wvGlPUaVupUE4hu2LXI=,40,30,149,149,1,20170313,20170413,0
k6kd0/dO0UaOQR6C6x+NkclFUawush5rz34h0W+4gbU=,36,30,180,180,0,20170325,20170424,0
l1R+sphe1EAjeE5h+pctJxANwM/Ts4XZNBm6cu+Qe7E=,41,30,99,99,1,20170303,20170403,0
lcSeXiswF4/TvAEAahRHXrNKqrhuMYWbKKp+P7kkNZo=,41,30,99,99,1,20170303,20170403,0
lzz/kvrSCgb0YftT1XmUQ2DL0wrNlD0x79AHJ+4gIm4=,39,30,149,149,1,20170228,20170428,0
mAyL/FJMGbJvkd7uSlDi9IN19wwLX2Sf3Y8W2zNsDN8=,41,30,99,99,1,20170305,20170405,0
mVNeeNEzgy3xu5nCtmp7HG4yitXyjUHjNpayqNg6Nt8=,36,30,180,180,1,20170308,20170407,0
