msno,city,bd,gender,registered_via,registration_init_time
c0JCzCe51NBgvBK/UvesOOEHA719gHHFK7HAY1niDv4=,13,44,male,9,20170223
VD4YczI22pUQTPSFPabUa+mMnMumMAl4qzrKvQtVJsU=,11,28,male,3,20140802
fal6cakX3+1aVOBqXzBnRoq+Wyh5lYBKt1q/zAORXt8=,1,0,,7,20140808
qP8if3sj50Cet+cgIRjz8wN2pjwqeb3SMH2s8OGTuOE=,15,24,female,9,20090827
DLirB96HWdYORkXiyLq9rXkJL6XyylOYSh09lms/dEQ=,13,34,male,9,20091003
b7J5GREVOCvNczm2RNOsrEG3YDbEYA5IpNKGLyodn1E=,1,0,,7,20150828
8LwF3DPwXZbfnwQMz/UGhJHOW9iDr53po3PNHp9ECdo=,4,22,male,3,20140527
gtOX1TUojj3dw8IRSlmURonV2bcrozcIxMrBK90GODE=,5,32,female,3,20161231
h9NKOctnp/KK5pB5SwowkL/o1YxFHT2R5YSX7FnC9SQ=,1,0,,7,20141023
X7WVbhO1E52yV2OB3PF+Nwe9n3Xt4eha3xM2y2kmkh4=,1,0,,7,20141107
FLrtdKmIX2/6uqCby4vyg+V0ua+53z1Pp48KLTSbyk0=,15,0,,9,20141108
7K0oY990JaaPuB0hO1Ersb4hyhN2sC3B+fE3spYYtj0=,1,0,,7,20161120
l3nCvHeC2e8/+yhBOc3XQRNiPcPDdVvFddiIzjnBYM8=,1,0,,9,20161126
/BO7PGGZr3dbSDFq+juCo/ZkgtKRznryrtjQzcZcQNY=,1,0,,7,20161111
zYrqofeS16CPyMehm2KQ5/GAAR6NkU7rb1VMQgxro7U=,1,0,,7,20161124
YzNifQKF3d7LD/mAG/QHvlCszDpimhanQyV1J1+Boqg=,1,0,,7,20161210
K+pUtBecY/wVx/EI6pt5Jvx2N7PRmxE86IIkSVfaTn0=,4,32,female,7,20161211
wvjV/kUg8AGG0n4yLvxjU4PeTn9s8zQ+Vl6UF8oCXVU=,22,21,female,9,20070917
AKAMC0697HYKZ1P9yGiSVLkhEiOrkYdBH6i2ifVdh/o=,13,29,male,9,20090727
6DziHSkC3fT1T9AYW/qO5JonozAG5PYkFo9Sjsc4JfY=,5,21,male,4,20170216
1mz4AVG8ahiT78Ie6mFv7ig/QCx8Vl00QsFwo/xadww=,1,0,,7,20170215
BqZQOKjJyQsPLIS56N9qhx/WFPV/CtBUXwqaD+ioOnw=,6,18,female,4,20170216
JK11pC0qX8GVjhndJzu1RsHJFwtZ5BsTZPwrW/zBV8Q=,3,48,male,9,20060517
9yIpAeVsR7Yv+WTl6F/WS3tyXpJwvexTd7gKI0QCBAQ=,4,28,female,9,20110928
sMLvFNSOmeQHD3QdtewUmvxR/pnmQZs9dcUkQ3F/nrE=,14,0,,3,20130927
d6x4wvQ1CoBKRZHYRYkA2i5f1zKTW/zM9Q4Q1UrZ4ck=,1,0,,7,20110628
7Y/L4ozncAs3mcPr4skf9KvXpnDbbvrbgTn+wF3JzZE=,5,39,female,7,20110706
eexSSjCLRlmIRUIFL4JZZC//rcDt9ByRQ06Bu+OIhRc=,13,20,male,9,20110906
TNwyHGgHzgtYhNrbrR0disQb1VhcD3vbku11tcFRQkM=,12,0,male,9,20041109
gFbq7zpSydXzBcCcjAwqZn85c6soHecmJLe287sob6I=,13,20,male,9,20050625
XPLMuXhvm3vN0ODBChMc7W8Nd6VM3BItsLsrn48E6pc=,15,0,female,9,20051023
xqDF91OSNB2ORmPg9fpMbgfnUU4EZuIWAoa8sCE0jys=,1,27,male,7,20151108
jvFV7AvmW+KWu7giD9keuhQVioyDJ2ngQCU5Er5oiiU=,1,0,,7,20151108
85Op9u5iqVicHmMwxDFah9Ly7b0OSyRpbHCiQwi+N6Q=,5,26,male,9,20140608
/dPop/+KESRkCOpumyHO/Tpmf9FIhK4L7DsVaeAzYp0=,1,0,,7,20170221
7EjOyubuyUaqmWcpeWsWcHWCzoRH7wScf1+DRxTOuqY=,1,0,,7,20120327
xJXjCCuvE1P5gBNW4svuO7+9qe5DT1pThh+meOX4LNo=,22,40,male,3,20150130
UndTHu5eI4U+8zpVjcbO7nRDwJ0eO7ePMOO+QennOek=,6,27,female,9,20150314
8EdzDgfASSYN0dalasAL2dH69sIvlphoeguuV7aYMzs=,1,0,,7,20150321
TxIopCiAMPXqf+Z9+1R5s2eYyZDOkPZZOZwgB6Gdv3w=,15,23,female,9,20090205
Wj9Ub/yMxSaoNNvXDtf+/gVSfbmoqfPWsBp2pFctlIo=,15,33,male,9,20130119
2BfGm2AfllUsJrXb+mveG/NAV2gzZQgcZNLm1rzvV0g=,1,0,,3,20130121
ueC8poh4mH0rilvnuajBICo97akaeGFviSe3eyDXGVw=,14,42,male,7,20130203
HOSIMsUOgofQh782FYpey6sDk/4GwBkAqH9agNUG2N0=,4,24,male,3,20130303
J5Ez6yUy3Ly3PP58om0/48LJcUubDt46Hx3mhwbAX6M=,22,26,male,3,20130310
CbAVSQ/qAUB1nRW5FVkzmLb+otKxQxaGw+muKO6rhYA=,5,0,,3,20130313
mSRrsgPb5vIf37EmLU4qYgFIpXfO+n9/2grA/kgt3pQ=,21,26,female,9,20081026
bEeZhu668DhSSRLsSDSo3B7MRcYQGqACflikWCEbwJk=,22,31,female,9,20081231
WLqsw33V3+oVRnAdLHATPxVdNTuKLdMAu7aPaLZDuoA=,1,0,,7,20140208
9WC6W7W2j64ZpLSNrL78igVlXrJUp7Dmphs7iJbDN5s=,5,22,male,4,20161229
od1EN7O4wb86c5zxAcj2amfk0cpqKaRQlVnkbL7u1Mo=,6,21,female,4,20170103
DAoa7/mLu2lvRmTvYvZIAanyOearDixCbhdW1baS0PA=,1,0,,7,20170122
6425N/KQYgsi5+ZT4/BZnLvPO/TAV9LULsz+vxkMYIg=,22,37,female,9,20060201
OFca5rtctBIje/bP2dMOKaQ99Kjmx9GweFOFyqMCdLg=,6,40,female,9,20060305
PAXovn5vOGab0Boe5kjAolwViFxGh6GgMRNwrOcL5dQ=,1,0,,7,20151112
vUQPW0TOPVD4lf2KVboxMp3kNVLpvwySlLIxZvNklsU=,1,0,,7,20151117
RL/okzh8bG4+9RGCw6ZIvuPQkE4ZuvhFJ2Zn3IJWg8U=,15,21,male,7,20151121
HCS6c+gFUQOVmPkSKNiBwi0F2kcH3jzprH/mvGzCh7A=,14,18,female,4,20160927
ZD2fv7Q+/zepcFoHvTSZK6BHzthEd2uuyU2GLzczx3E=,1,0,,4,20160927
hZjeah8xuzGxNExEz6YPvcajtSv6jM4SgI53YWWGmU8=,5,37,female,9,20060312
6cyZMea0h+13Ic+Il3fBReC9B++p6B8GmXMpAQi6vWU=,4,46,female,9,20060325
TUt98R724vMjkSfLph2OAh5DGfFU6dtUH4j+sjmmGbE=,5,36,female,9,20110119
XRl7JoEhcs/xKNbOcqZC0lZE0BtjFNGEFMJL2h+QXUM=,1,0,,7,20110128
FhNTt/sYYTXJI/TFwZWYQSD+rjL1kLVJlyGiuo8a7iM=,1,0,,7,20110423
5XxZykE9PvPcVCLRQVUZtR9ULtjRIjXzkS3FQM8ECgQ=,4,35,female,9,20070121
R8GxOvZqXB05Ly+ZZDRtvII5d6SkpPTsydZI6B05S2k=,13,29,male,9,20051220
ywWAtEzvPQtLNBb6utufznu47pW9fM1r1WeJG/E5Lvo=,13,18,female,3,20140715
2mrlL0nhMxmcdMTAH/NclPf40eT33wnKMsS+lRYH4FI=,22,25,male,9,20090427
L7Jd0SwpP+DC4Gn50/9VOO/0xcsp2oUad94emGE2W20=,14,31,male,9,20070720
9OyM4+Kkwr0fiet3GejZfZ4qh2lXrmQibaQ9pJECxWI=,4,27,male,9,20070817
TZSbqhXm9/fh0Jvy7keZvY8S+dqjmmzOAk6NnntFg9U=,1,0,,7,20151115
HOv8dIhFDZe3SBlI2IvPJ/EQWL+xya+5k3yQvsZ84GE=,5,26,male,3,20150617
pzZHzaOexazZLfuc0STifAUsQbB8Bw+DQgH8P33p8Ko=,13,42,female,9,20060905
hMZ7DSqOH5uwd/99kVBCCzBFsY5IBtUG1i/h1CURTqM=,5,53,female,9,20060908
nMUum1sypBL6w+ACx2MFkBj503Ah4ViUnIOwi2vPNjA=,1,0,,7,20140208
zdYW9FId4PHfh4mXUci8alj/5Txnq+8QA1BGd2hhHEI=,6,33,male,3,20140208
0J+GdmAFvLwVJBvMGYJJZf/LbxWsoSCLon84jfvB4PI=,1,0,,7,20140212
586q4nUDXBgDZwzI1snj/HFkRshK05h4kB70AkUG3pA=,1,0,,7,20120226
ufOmM1St4Eiw9NLw0t/Kei/WeDPglSTm4POMWaCUW14=,15,28,female,3,20120324
PnD5zjqx6ajCSmMp3liyMaekFxYAS6MfcdLwHvw5tBQ=,15,24,male,3,20120403
tqDWhHgEEys64VZSOpTETQRsDOUxtSAHONhOnEeri1k=,5,20,male,3,20141023
l2/aGFteMyRvOqgy02mQ5I9WRByUBBz+41pb2TtBI0I=,1,0,,7,20101228
qzJTx7nHcfBoMHgoARyiGZ+QjPQA27t58Ib6KfTjhd0=,13,38,male,7,20110408
KUlUkWrjyCIbpwYxjR3g+Z/Nl0NA/N7yZ0azhJzywPU=,22,31,female,7,20110429
U1fz1cv8y5cfWnyBaNjKxExnq4RfR0JselbFF9QLpzY=,11,51,female,9,20061030
PSG6DHjIypNTkguI5BkE/RQhnPFGZd3FL6AMazi5UZU=,4,37,male,9,20070304
YpNMkHiO0ze0CbQ+SJmarrhBoFhn77BIQB8+yJieVxk=,13,41,female,9,20070309
X6Lr56Y31SdvvOiwXmEO97L8B4ks69XEHzBTX6E72Os=,15,22,female,9,20070613
jMs8imds9OfAXIEOib1jsZbg5vhDONYV8Y0Qziy2mh4=,13,46,female,9,20060331
fS0EAq4xursMFmul5WY5bmVu3gZY+TW52g+skfsiT40=,1,0,,7,20140514
Fwf3DQxlWAVOcA9twoN/oSAIXZOmjPc9EmefqNoitJQ=,1,0,,7,20140114
FZdErICeE0GKnjwp1gGjokKGkp53i1fdY6uo5h+LkbM=,13,24,male,3,20140127
bo+PbIzndXkcb2Fimlkb6FJHyQuop5tMYLJv9w/wq0E=,13,0,,9,20150530
drMyAJseFikPiEQf8kgfJaVs17Gnbjn+O3HbRQjMIik=,5,29,male,9,20060430
ujo6SPcRXUT5f5vvSV29L1K+Am2KakaxEXTupUvhnwc=,1,0,,7,20151210
nwMHh2cgr7wMndFhGoHrzRmGtLwdNsTqrSSt9YGC8xg=,1,0,,7,20130306
FSYVXL59p1kv9ECkfjpbg7CUSc3yqREpzdeZfEC6MFo=,1,0,,7,20130607
BMjyKvo73a0n0qujjMYErD4lLe+9oQTCAm8gXMMI2mg=,14,18,male,9,20091218
q6fazRR2/XZEyqcNDFcArGSF9apDtIjgdMOJvbduYe4=,1,0,,7,20170202
MBRHT7ER3fP3FV1ssaYiGpm4SqKakxY6CvzILM+VZds=,1,0,,7,20170203
eR8iyvgVqphVDMfrWAmayjB3p6sMlve1R3gk/VuWY/8=,1,0,,7,20170219
4edErbQXPsuZltd5hFqLg4CxvfPPtfunsRLmf4ejdwk=,4,38,female,9,20060602
n2vGFs6NWuPsxb/XjAJS1aRBxC9w95NBqwxbJjSDR7Y=,4,61,female,9,20060718
PBcnthVzbrzZlk1hQ/oXlw/2ri+VTplGjAqoU6SKwZ8=,15,38,female,9,20060727
jFFDbhkpuW5td5btPF9EF19jsd8jnN+wMMn3HadOBSk=,4,47,female,9,20060829
